FirstName,LastName,Title,Address,City,Province,PostalCode,Employee Number,Phone Number,Email,@Photos,#QRCode
John,Smith,CEO,444 West Elm Street,Vancouver,BC,V9K 4B7,2121,604-999-5542,jsmith@tmc.com,C:\Jennifers_ongoingWork\adwords\video_projects_indd\part2_multiple\images\head_shots\john_smith.jpg,Hello
Mary,Lewis,HR Manager,343 East Garnet Ave,Burnaby,BC,V3T 4R9,1311,604-333-4567,mlewis@tmc.com,C:\Jennifers_ongoingWork\adwords\video_projects_indd\part2_multiple\images\head_shots\mary_lewis.jpg,Greetings
Cody,Thompson,Chief Engineer,564 Begbie Way,Revelstoke,BC,V8T 4J5,2122,878-673-5532,cthompson@tmc.com,C:\Jennifers_ongoingWork\adwords\video_projects_indd\part2_multiple\images\head_shots\cody_thompson.jpg,Wow
Alex,Jackson,Chief Surveyor,563 Begbie Way,Revelstoke,BC,V8T 4J8,2123,878-673-5532,ajackson@tmc.com,C:\Jennifers_ongoingWork\adwords\video_projects_indd\part2_multiple\images\head_shots\alex_jackson.jpg,Nice to meet you!
Jana,Martins,Administration,676 Northroad Drive,Calgary,AB,V5T 4Q8,2125,605-676-4564,jmartins@tmc.com,C:\Jennifers_ongoingWork\adwords\video_projects_indd\part2_multiple\images\head_shots\jana_martins.jpg,Hi there!
Nancy,Coleman,Accountant,453 Cooper Lane,Surrey,BC,V6R 2T1,2454,604-676-3433,ncoleman@tmc.com,C:\Jennifers_ongoingWork\adwords\video_projects_indd\part2_multiple\images\head_shots\nancy_coleman.jpg,Cool!
Jackie,Vadder,Graphic Designer,444 West Elm Street,Vancouver,BC,V5K 4B7,2456,604-999-5543,jvadder@tmc.com,C:\Jennifers_ongoingWork\adwords\video_projects_indd\part2_multiple\images\head_shots\jackie_vadder.jpg,Super!
Carol,Harper,Geologist,676 Blackrock Ave,Vancouver,BC,V5Q 8T4,2563,604-556-9786,charper@tmc.com,C:\Jennifers_ongoingWork\adwords\video_projects_indd\part2_multiple\images\head_shots\carol_harper.jpg,Good Job!
George,Walters,Geologist,454 Jade Ave,Revelstoke,BC,V6T 5T8,2453,604-567-3433,gwalters@tmc.com,C:\Jennifers_ongoingWork\adwords\video_projects_indd\part2_multiple\images\head_shots\george_walters.jpg,How can I help you?
Jason,Cruz,Mine Manager,454 Jade Ave,Revelstoke,BC,V6T 5T8,5655,676-909-7878,jcruz@tmc.com,C:\Jennifers_ongoingWork\adwords\video_projects_indd\part2_multiple\images\head_shots\jason_cruz.jpg,Excellent!
Gordy,Barker,Safety Officer,454 Jade Ave,Revelstoke,BC,V6T 5T8,1124,778-668-5653,gbarker@tmc.com,C:\Jennifers_ongoingWork\adwords\video_projects_indd\part2_multiple\images\head_shots\gordy_barker.jpg,That is wonderful!
Philippe,Pétain,Prospector,343 Bluemud Drive,Revelstoke,BC,V5Q 9T4,4456,778-999-5651,ppetain@tmc.com,C:\Jennifers_ongoingWork\adwords\video_projects_indd\part2_multiple\images\head_shots\philippe_petain.jpg,Nice work!
